,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
94,4661621,CCCOC1=CC=C(C=C1)C(=O)NC(=S)N2CCN(CC2)C3=C(C=C4C(=C3)N(C=C(C4=O)C(=O)O)CC)F,Active
95,24687249,CN1C=CSC1=NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
96,702695,C1=C(OC(=C1)[N+](=O)[O-])/C=C/C(=O)O,Active
97,1895893,CCCCCCNC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC,Active
98,1904355,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC(=CC=C4)F)F)C(=O)O,Active
99,54683010,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,Active
100,148471,C1=CC(=CN=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
101,3281742,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)NC5=C(C=C(C=C5C)C)C,Active
102,4252228,C1=CC=C(C=C1)C(=O)NNC2=CC(=C(C(=C2)Br)O)Br,Active
103,16218899,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1NC(=O)[C@H](CCN)O)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CN)O)O)O)N.O,Active
104,5091685,CC1CN(CCN1C(=S)NC2=CC=CC=C2F)C3=C(C=C4C(=C3OC)N(C=C(C4=O)C(=O)O)C5CC5)F,Active
105,5280707,C1=COC(=C1)/C(=C/C2=CC=C(O2)[N+](=O)[O-])/C(=O)N,Active
106,3032422,C1CN(C(=S)N1)N=CC2=CC=C(O2)[N+](=O)[O-],Active
107,98652,C1=CC=C2C=C(C=CC2=C1)S(=O)(=O)C3=CC4=C(C=C3)N=C(N=C4N)N,Active
108,23667300,CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)[O-])NC(=O)CC3=CC=CS3.[Na+],Active
109,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Active
110,54117,C[C@H]1[C@@H](C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,Active
111,1952592,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC=C4F)F)C(=O)O,Active
112,657705,CCOC(=O)C1=NC2=CC=CC=C2C1=[N+]=[N-],Active
113,6603548,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCCN(C)C.Cl,Active
114,56642849,C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N/OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O.O,Active
115,135466007,C1=CC=C2C(=C1)NC(=N2)/C(=C(/C3=CC=C(O3)[N+](=O)[O-])\O)/C#N,Active
116,42640,CN1CCN(CC1)C2=CC=C(C3=NO[N+](=C23)[O-])[N+](=O)[O-],Active
117,279924,CC1=C(C(=NN1)C(F)(F)F)N=NN2CCOCC2,Active
118,774010,COC1=CC=C(C=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active
119,92968,C1COCCN1CC2CN(C(=O)O2)N=CC3=CC=C(O3)[N+](=O)[O-].Cl,Active
120,9563275,CC1=NC2=CC=CC=C2N1/N=C/C3=CC=C(O3)[N+](=O)[O-],Active
121,313582,C1=C(C2=[N+](ON=C2C(=C1)[N+](=O)[O-])[O-])N(CCO)CCO,Active
122,3765969,CCC(C)NC(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC,Active
123,321946,CN1C(=CN=C1C=C2CC3=C(C2=O)C=C(C=C3)OCCN(C)C)[N+](=O)[O-].OS(=O)(=O)O,Active
124,119525,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O,Active
125,324229,C1CCC2=C(C1)C(=NC(=N2)C3=CC=C(O3)[N+](=O)[O-])Cl,Active
126,24747685,CCCCN(CCCC)C(=O)C1=CN(C2=CC(=C(C=C2C1=O)F)N3CCN(CC3)C)CC.Cl,Active
127,24761052,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)NCCN(CC)CC.Cl,Active
128,5017142,C1=CC=C2C(=C1)C(=C(O2)C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-],Active
129,759209,CC1=C(SN(C1=O)C2=CC=C(C=C2)Cl)Cl,Active
130,6604200,C1C(=O)NC(=O)N1/N=C/C2=CC=C(O2)[N+](=O)[O-],Active
131,221597,C1CSC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],Active
132,54682468,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O.Cl,Active
133,1956711,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=S)NC(=O)C4=CC=CC=C4)F)C(=O)O,Active
134,339983,C1=CC(=CC(=C1)[N+](=O)[O-])C2=C(N3C=CC=NC3=N2)N=O,Active
135,61205,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N,Active
136,1894659,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)C4=CC=CO4)F)C(=O)NCC=C,Active
