Protein,Ligand,Best Run,Binding Energy (kcal/mol)
model_01_psef_protein,BMS-CCR2-22,12,-11.27
model_01_psef_protein,valnemulin,41,-11.27
model_01_psef_protein,chlorhexidine,71,-11.26
model_01_psef_protein,camicinal,84,-11.26
model_01_psef_protein,delta-tocotrienol,98,-11.26
model_01_psef_protein,cabozantinib,28,-11.25
model_01_psef_protein,lercanidipine,27,-11.24
model_01_psef_protein,RG7112,84,-11.24
model_01_psef_protein,RGX-104,51,-11.24
model_01_psef_protein,BIO-5192,66,-11.23
model_01_psef_protein,JD-5037,14,-11.23
model_01_psef_protein,ocaperidone,85,-11.23
model_01_psef_protein,AZD7594,80,-11.23
model_01_psef_protein,PRN1008,29,-11.23
model_01_psef_protein,BMS-935177,18,-11.22
model_01_psef_protein,PF-477736,31,-11.22
model_01_psef_protein,MM-102,76,-11.21
model_01_psef_protein,LY2857785,71,-11.21
model_01_psef_protein,sitosterol,99,-11.21
model_01_psef_protein,TAK-632,25,-11.21
model_01_psef_protein,GW-3965,13,-11.21
model_01_psef_protein,neratinib,36,-11.21
model_01_psef_protein,TCV-309,37,-11.2
model_01_psef_protein,valrubicin,84,-11.2
model_01_psef_protein,vinorelbine,35,-11.2
model_01_psef_protein,carebastine,31,-11.19
model_01_psef_protein,siramesine,98,-11.19
model_01_psef_protein,phytonadione,40,-11.19
model_01_psef_protein,grazoprevir,3,-11.17
model_01_psef_protein,KRCA-0008,93,-11.17
model_01_psef_protein,ciluprevir,50,-11.17
model_01_psef_protein,PI3Kd-IN-2,43,-11.17
model_01_psef_protein,WAY-207024,77,-11.17
model_01_psef_protein,digoxin,57,-11.17
model_01_psef_protein,oxatomide,50,-11.16
model_01_psef_protein,telaprevir,23,-11.16
model_01_psef_protein,PF-05190457,22,-11.16
model_01_psef_protein,AT13148,17,-11.15
model_01_psef_protein,TC-OT-39,42,-11.15
model_01_psef_protein,cot-inhibitor-2,38,-11.15
model_01_psef_protein,dequalinium,58,-11.15
model_01_psef_protein,L-161982,45,-11.15
model_01_psef_protein,siponimod,97,-11.15
model_01_psef_protein,fostemsavir,95,-11.14
model_01_psef_protein,eptifibatide,71,-11.14
model_01_psef_protein,canagliflozin,25,-11.14
model_01_psef_protein,MK-2206,38,-11.13
model_01_psef_protein,LXS196,90,-11.12
model_01_psef_protein,netilmicin,84,-11.12
model_01_psef_protein,presatovir,12,-11.11
model_01_psef_protein,mitoquinone,27,-11.1
model_01_psef_protein,tipranavir,78,-11.1
model_01_psef_protein,palbociclib,48,-11.1
model_01_psef_protein,SB-271046,98,-11.1
model_01_psef_protein,WIKI4,48,-11.09
model_01_psef_protein,otamixaban,43,-11.08
model_01_psef_protein,SR-1664,28,-11.08
model_01_psef_protein,olmesartan-medoxomil,4,-11.08
model_01_psef_protein,TAK-901,31,-11.08
model_01_psef_protein,mizolastine,1,-11.07
model_01_psef_protein,GSK3326595,55,-11.07
model_01_psef_protein,glecaprevir,83,-11.07
model_01_psef_protein,ZCL-278,80,-11.07
model_01_psef_protein,barnidipine,27,-11.06
model_01_psef_protein,bacampicillin,69,-11.06
model_01_psef_protein,lusutrombopag,49,-11.06
model_01_psef_protein,SGC-CBP30,39,-11.06
model_01_psef_protein,WAY-170523,21,-11.06
model_01_psef_protein,E-4031,50,-11.06
model_01_psef_protein,desoxycorticosterone-pivalate,23,-11.05
model_01_psef_protein,Y-320,2,-11.05
model_01_psef_protein,SNX-5422,3,-11.05
model_01_psef_protein,KD025,20,-11.05
